dyad_id,start_date,end_date,outcome
457,1962-10-31,,
457,1962-10-31,,
457,1962-10-31,,
457,1962-10-31,1970-05-23,1.0
458,1979-03-31,,
458,1979-03-31,,
458,1979-03-31,,
458,1979-03-31,1982-05-31,5.0
459,2009-11-03,,
459,2009-11-03,,
459,2009-11-03,,
459,2009-11-03,,
459,2009-11-03,,
459,2009-11-03,,
459,2009-11-03,,
459,2009-11-03,,
459,2009-11-03,,
459,2009-11-03,2018-12-31,5.0
10855,2014-03-13,,
10855,2014-03-13,2015-01-22,4.0
14595,2015-03-07,,
14595,2015-03-07,,
14595,2015-03-07,,
14595,2015-03-07,,
14595,2015-03-07,,
14595,2015-03-07,,
460,1949-12-31,,
460,1949-12-31,1950-05-05,3.0
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,1992-12-31,2.0
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,,
461,1961-02-28,2019-12-31,5.0
462,1949-10-31,,
462,1949-10-31,1950-12-31,5.0
462,1949-10-31,1954-12-31,5.0
462,1949-10-31,1958-12-31,5.0
463,1949-07-18,1949-07-19,3.0
464,1954-06-18,1954-06-27,4.0
465,1963-03-22,1963-12-31,5.0
465,1963-03-22,,
465,1963-03-22,,
465,1963-03-22,,
465,1963-03-22,,
465,1963-03-22,,
465,1963-03-22,,
465,1963-03-22,,
465,1963-03-22,,
465,1963-03-22,,
465,1963-03-22,1974-12-31,3.0
465,1963-03-22,1981-12-31,6.0
466,1970-12-31,,
466,1970-12-31,,
466,1970-12-31,,
466,1970-12-31,,
466,1970-12-31,,
466,1970-12-31,,
466,1970-12-31,,
466,1970-12-31,,
466,1970-12-31,,
466,1970-12-31,,
466,1970-12-31,,
466,1970-12-31,1981-12-31,6.0
467,1975-05-31,,
467,1975-05-31,,
467,1975-05-31,,
467,1975-05-31,,
467,1975-05-31,,
