paid,conflict_id,dyad_name,conflict_name,peace_date,dyadep_id,dyadepisode,type_of_conflict2,dyadcount,dyadterm,end_date,ependprec,outcome,cfiredate,peagdate,recur,version,dyad_id,year,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,intensity_level,type_of_conflict,start_date,start_prec,start_date2,start_prec2,gwno_loc,region,duration_after_peace,possible_resume
1353,387,Government of Angola - FLEC-R,Angola: Cabinda,2006-08-01,83205.0,5,3,1,1.0,2009-12-31,5.0,5.0,,,1,3,832,2009,Angola,Government of Angola,99,,FLEC-FAC,541,,1,Cabinda,1,3,1989-08-04,1,2009-12-31,5,540,4,1248,False
1021,327,Government of Angola - UNITA,Angola: Government,1989-06-22,71401.0,1,3,1,1.0,1995-12-24,1.0,5.0,,,0,3,714,1995,Angola,Government of Angola,99,,UNITA,567,,2,,1,3,1975-11-11,1,1975-11-11,1,540,4,2376,False
1021,327,Government of Angola - UNITA,Angola: Government,1989-06-22,71402.0,2,3,1,1.0,2002-04-01,1.0,1.0,2002-03-30 00:00:00,2002-04-04 00:00:00,0,3,714,2002,Angola,Government of Angola,99,Government of Namibia,UNITA,567,,2,,1,4,1975-11-11,1,1998-05-02,1,540,4,4666,False
1022,327,Government of Angola - UNITA,Angola: Government,1991-05-31,71401.0,1,3,1,1.0,1995-12-24,1.0,5.0,,,0,3,714,1995,Angola,Government of Angola,99,,UNITA,567,,2,,1,3,1975-11-11,1,1975-11-11,1,540,4,1668,False
1022,327,Government of Angola - UNITA,Angola: Government,1991-05-31,71402.0,2,3,1,1.0,2002-04-01,1.0,1.0,2002-03-30 00:00:00,2002-04-04 00:00:00,0,3,714,2002,Angola,Government of Angola,99,Government of Namibia,UNITA,567,,2,,1,4,1975-11-11,1,1998-05-02,1,540,4,3958,False
1023,327,Government of Angola - UNITA,Angola: Government,1994-11-20,71401.0,1,3,1,1.0,1995-12-24,1.0,5.0,,,0,3,714,1995,Angola,Government of Angola,99,,UNITA,567,,2,,1,3,1975-11-11,1,1975-11-11,1,540,4,399,True
1023,327,Government of Angola - UNITA,Angola: Government,1994-11-20,71402.0,2,3,1,1.0,2002-04-01,1.0,1.0,2002-03-30 00:00:00,2002-04-04 00:00:00,0,3,714,2002,Angola,Government of Angola,99,Government of Namibia,UNITA,567,,2,,1,4,1975-11-11,1,1998-05-02,1,540,4,2689,False
1564,398,Government of Bosnia-Herzegovina - Croatian Republic of Bosnia-Herzegovina,Bosnia-Herzegovina: Croat,1993-05-18,84801.0,1,3,2,1.0,1994-03-01,1.0,1.0,,1994-03-18 00:00:00,0,3,848,1994,Bosnia-Herzegovina,Government of Bosnia-Herzegovina,50,,Croatian Republic of Bosnia-Herzegovina,350,,1,Croat,1,3,1992-05-27,1,1993-01-14,2,346,1,287,True
1072,398,Government of Bosnia-Herzegovina - Croatian Republic of Bosnia-Herzegovina,Bosnia-Herzegovina: Croat,1994-03-01,84701.0,1,3,2,1.0,1994-09-05,5.0,6.0,,,0,3,847,1994,Bosnia-Herzegovina,Government of Bosnia-Herzegovina,50,,Croatian irregulars,370,,1,Croat,1,3,1993-05-31,3,1993-05-31,3,346,1,188,True
1072,398,Government of Bosnia-Herzegovina - Croatian Republic of Bosnia-Herzegovina,Bosnia-Herzegovina: Croat,1994-03-01,84801.0,1,3,2,1.0,1994-03-01,1.0,1.0,,1994-03-18 00:00:00,0,3,848,1994,Bosnia-Herzegovina,Government of Bosnia-Herzegovina,50,,Croatian Republic of Bosnia-Herzegovina,350,,1,Croat,1,3,1992-05-27,1,1993-01-14,2,346,1,0,True
1566,398,Government of Bosnia-Herzegovina - Croatian Republic of Bosnia-Herzegovina,Bosnia-Herzegovina: Croat,1994-03-18,84701.0,1,3,2,1.0,1994-09-05,5.0,6.0,,,0,3,847,1994,Bosnia-Herzegovina,Government of Bosnia-Herzegovina,50,,Croatian irregulars,370,,1,Croat,1,3,1993-05-31,3,1993-05-31,3,346,1,171,True
1567,389,Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina,Bosnia-Herzegovina: Serb,1994-12-20,83401.0,1,3,2,1.0,1995-12-31,5.0,6.0,,,0,3,834,1995,Bosnia-Herzegovina,Government of Bosnia-Herzegovina,50,,Serbian irregulars,371,,1,Serb,1,3,1992-04-27,1,1992-05-31,3,346,1,376,True
1567,389,Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina,Bosnia-Herzegovina: Serb,1994-12-20,83501.0,1,3,2,1.0,1995-11-21,1.0,1.0,,1995-12-14 00:00:00,0,3,835,1995,Bosnia-Herzegovina,Government of Bosnia-Herzegovina,50,,Serbian Republic of Bosnia-Herzegovina,339,,1,Serb,2,3,1992-04-27,1,1992-04-27,1,346,1,336,True
1568,389,Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina,Bosnia-Herzegovina: Serb,1995-09-08,83401.0,1,3,2,1.0,1995-12-31,5.0,6.0,,,0,3,834,1995,Bosnia-Herzegovina,Government of Bosnia-Herzegovina,50,,Serbian irregulars,371,,1,Serb,1,3,1992-04-27,1,1992-05-31,3,346,1,114,True
1568,389,Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina,Bosnia-Herzegovina: Serb,1995-09-08,83501.0,1,3,2,1.0,1995-11-21,1.0,1.0,,1995-12-14 00:00:00,0,3,835,1995,Bosnia-Herzegovina,Government of Bosnia-Herzegovina,50,,Serbian Republic of Bosnia-Herzegovina,339,,1,Serb,2,3,1992-04-27,1,1992-04-27,1,346,1,74,True
1569,389,Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina,Bosnia-Herzegovina: Serb,1995-09-08,83401.0,1,3,2,1.0,1995-12-31,5.0,6.0,,,0,3,834,1995,Bosnia-Herzegovina,Government of Bosnia-Herzegovina,50,,Serbian irregulars,371,,1,Serb,1,3,1992-04-27,1,1992-05-31,3,346,1,114,True
